gaze,じっと見つめる
gene,遺伝子
general （名詞）,将軍
general （形容詞）,全般的・一般的な
general manager,部長，室長，支店長
general public （the ～）,一般大衆
generally,一般的に
generate,…を生み出す
generation,世代
genetic,遺伝子の
genius,天才
gentle,温厚な
genuine,本物の
geographical,地理的な
geography,地理（学）
get,…になる
giant,巨人
gifted,天賦の才能がある
glad,嬉しい
global,地球の
globe （the ～）,地球
gloomy,暗い
glory,栄華
go,…になる
goal,目標
good,利益
good-natured,人の良い
goods,商品
goodwill,善意
gorgeous,豪華な
govern,…を統治する
government,政府
governor,知事
grab,…をつかむ
grade,成績
gradual,徐々の
graduate,卒業する
grain,穀物，穀物の粒
grant,助成金
grasp,…をしっかりとつかむ
grateful,感謝している
gratitude,感謝の気持ち
grave,非常に深刻な
gravity,重力
great grandfather,曾祖父
greet,…を出迎える
greeting,挨拶
grief,深い悲しみ
grieve,ひどく悲しむ
grim,いかめしい
grin,にっこり笑う
groan,うめく
groom,花婿
gross,甚だしい
ground,根拠，理由
grow,…になる
grown-up,大人
growth,成長
grudge,恨み
grumble,愚痴を言う
guarantee,…を保証する
guard,警備員
guess,…を推測する
guest,客
guest worker,外国人労働者
guilty,有罪である
gulp,一気に飲むこと
gunboat,戦艦
guy,男
gymnast,体操選手
